match_id,date,gender,competition,competition_id,stage,team_a,team_b,team_a_score,team_b_score,sets_a,sets_b,winner,venue,country_host,neutral,source,source_match_id,tournament_no,no_in_tournament,elo_a_pre,elo_b_pre,elo_pred_a,elo_a_post,elo_b_post,a_matches_played,a_current_streak,a_days_since_last,a_win_rate_last5,a_set_margin_avg_last5,a_win_rate_last10,a_set_margin_avg_last10,b_matches_played,b_current_streak,b_days_since_last,b_win_rate_last5,b_set_margin_avg_last5,b_win_rate_last10,b_set_margin_avg_last10,h2h_matches_played,h2h_win_rate_a,competition_importance,stage_importance,match_importance,tournament_progress,elo_diff,matches_played_diff,current_streak_diff,days_since_last_diff,win_rate_last5_diff,set_margin_avg_last5_diff,win_rate_last10_diff,set_margin_avg_last10_diff
fivb_vis:2238,2009-11-22,men,World Cup,WC_MEN,other,IRN,POL,97,96,1,3,team_b,Nippongaishi Hall,,True,fivb_vis,2238,10,11,1466.1482099926545,1635.8201571018074,0.27354503136748304,1457.394768988895,1644.5735981055668,21,-2,1.0,0.4,-0.4,0.7,1.0,26,-3,1.0,0.4,-0.2,0.5,0.1,0,,4.0,1.0,4.0,0.7333333333333333,-169.67194710915282,-5,1,0.0,0.0,-0.2,0.19999999999999996,0.9
fivb_vis:2239,2009-11-22,men,World Cup,WC_MEN,other,JPN,CUB,61,75,0,3,team_b,Nippongaishi Hall,,True,fivb_vis,2239,10,12,1542.430412251853,1555.189669297429,0.48164620334374436,1527.0177337448533,1570.6023478044287,40,6,1.0,1.0,1.8,0.6,0.2,18,2,1.0,0.8,1.6,0.7,1.2,0,,4.0,1.0,4.0,0.8,-12.75925704557585,22,4,0.0,0.19999999999999996,0.19999999999999996,-0.09999999999999998,-1.0
fivb_vis:2240,2009-11-23,men,World Cup,WC_MEN,other,CUB,IRN,90,76,3,1,team_a,Nippongaishi Hall,,True,fivb_vis,2240,10,13,1570.6023478044287,1457.394768988895,0.6573878677221057,1581.5659360373213,1446.4311807560025,19,3,1.0,0.8,1.6,0.8,1.8,22,-3,1.0,0.4,-0.4,0.6,0.5,0,,4.0,1.0,4.0,0.8666666666666667,113.20757881553368,-3,6,0.0,0.4,2.0,0.20000000000000007,1.3
fivb_vis:2241,2009-11-23,men,World Cup,WC_MEN,other,POL,EGY,75,56,3,0,team_a,Nippongaishi Hall,,True,fivb_vis,2241,10,14,1644.5735981055668,1346.3186382821907,0.84772827452666,1649.4462933207137,1341.4459430670438,27,1,1.0,0.4,-0.2,0.5,0.1,25,-9,1.0,0.0,-2.0,0.1,-2.0,2,1.0,4.0,1.0,4.0,0.9333333333333333,298.2549598233761,2,10,0.0,0.4,1.8,0.4,2.1
fivb_vis:2242,2009-11-23,men,World Cup,WC_MEN,other,BRA,JPN,76,58,3,0,team_a,Nippongaishi Hall,,True,fivb_vis,2242,10,15,1749.1828042580557,1527.0177337448533,0.7822599102735788,1756.1504871293012,1520.050050873608,34,4,1.0,0.8,1.4,0.8,1.6,41,-1,1.0,0.8,0.8,0.6,0.1,1,1.0,4.0,1.0,4.0,1.0,222.1650705132024,-7,5,0.0,0.0,0.5999999999999999,0.20000000000000007,1.5
fivb_vis:7853,2016-11-30,women,World Championship,WCH_WOMEN,other,PAN,SLV,75,67,3,0,team_a,Gimnasio Nacional de Voleibol,,True,fivb_vis,7853,1002,1,1407.553328837287,1459.6980968103414,0.425516069164977,1425.9368146240076,1441.3146110236207,18,-5,865.0,0.0,-2.6,0.2,-1.9,7,-5,929.0,0.0,-3.0,0.2857142857142857,-1.2857142857142858,1,1.0,5.0,1.0,5.0,0.1,-52.14476797305451,11,0,-64.0,0.0,0.3999999999999999,-0.08571428571428569,-0.6142857142857141
fivb_vis:7854,2016-11-30,women,World Championship,WCH_WOMEN,other,GTM,HND,108,97,3,2,team_a,Gimnasio Nacional de Voleibol,,True,fivb_vis,7854,1002,2,1523.9125769671523,1343.3515261128998,0.7387328603601068,1532.2731254356288,1334.9909776444233,12,1,927.0,0.4,-0.8,0.5,-0.1,15,-10,927.0,0.0,-2.2,0.0,-2.6,3,1.0,5.0,1.0,5.0,0.2,180.56105085425247,-3,11,0.0,0.4,1.4000000000000001,0.5,2.5
fivb_vis:7855,2016-12-01,women,World Championship,WCH_WOMEN,other,SLV,GTM,58,75,0,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7855,1002,3,1441.3146110236207,1532.2731254356288,0.37201098323734844,1429.4102595600257,1544.1774768992238,8,-6,1.0,0.0,-3.0,0.25,-1.5,13,2,1.0,0.6,0.0,0.5,-0.3,1,0.0,5.0,1.0,5.0,0.3,-90.95851441200807,-5,-8,0.0,-0.6,-3.0,-0.25,-1.2
fivb_vis:7856,2016-12-01,women,World Championship,WCH_WOMEN,other,NIC,PAN,97,86,3,1,team_a,Gimnasio Nacional de Voleibol,,True,fivb_vis,7856,1002,4,1521.0411896650276,1425.9368146240076,0.6335472032843985,1532.7676791599267,1414.2103251291085,15,-2,865.0,0.4,-0.8,0.5,-0.1,19,1,1.0,0.2,-1.4,0.3,-1.3,2,1.0,5.0,1.0,5.0,0.4,95.10437504101992,-4,-3,864.0,0.2,0.5999999999999999,0.2,1.2
fivb_vis:7857,2016-12-02,women,World Championship,WCH_WOMEN,other,PAN,GTM,53,75,0,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7857,1002,5,1414.2103251291085,1544.1774768992238,0.32122430776879113,1403.931147280507,1554.4566547478253,20,-1,1.0,0.2,-1.2,0.3,-1.2,14,3,1.0,0.8,1.2,0.5,-0.3,2,0.5,5.0,1.0,5.0,0.5,-129.96715177011538,6,-4,0.0,-0.6000000000000001,-2.4,-0.2,-0.8999999999999999
fivb_vis:7858,2016-12-02,women,World Championship,WCH_WOMEN,other,NIC,HND,75,56,3,0,team_a,Estado Nacional de Voleibol,,True,fivb_vis,7858,1002,6,1532.7676791599267,1334.9909776444233,0.7574030671854918,1540.530781009991,1327.227875794359,16,1,1.0,0.4,-0.8,0.6,0.4,16,-11,2.0,0.0,-1.8,0.0,-2.4,2,1.0,5.0,1.0,5.0,0.6,197.77670151550342,0,12,-1.0,0.4,1.0,0.6,2.8
fivb_vis:7859,2016-12-03,women,World Championship,WCH_WOMEN,other,HND,SLV,98,109,2,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7859,1002,7,1327.227875794359,1429.4102595600257,0.3570458790053573,1315.8024076661877,1440.835727688197,17,-12,1.0,0.0,-2.0,0.0,-2.4,9,-7,2.0,0.0,-3.0,0.2222222222222222,-1.6666666666666667,1,0.0,5.0,1.0,5.0,0.7,-102.1823837656666,8,-5,-1.0,0.0,1.0,-0.2222222222222222,-0.7333333333333332
fivb_vis:7860,2016-12-03,women,World Championship,WCH_WOMEN,other,GTM,NIC,51,75,0,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7860,1002,8,1554.4566547478253,1540.530781009991,0.52003021787949,1537.8156877756817,1557.1717479821345,15,4,1.0,0.8,1.4,0.5,-0.2,17,2,1.0,0.6,0.4,0.6,0.5,2,0.5,5.0,1.0,5.0,0.8,13.925873737834308,-2,2,0.0,0.20000000000000007,0.9999999999999999,-0.09999999999999998,-0.7
fivb_vis:7861,2016-12-04,women,World Championship,WCH_WOMEN,other,HND,PAN,84,102,1,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7861,1002,9,1315.8024076661877,1403.931147280507,0.3758243814122671,1303.7760274609952,1415.9575274856995,18,-13,1.0,0.0,-1.8,0.0,-2.2,21,-2,2.0,0.2,-1.2,0.2,-1.7,2,0.0,5.0,1.0,5.0,0.9,-88.12873961431933,-3,-11,-1.0,-0.2,-0.6000000000000001,-0.2,-0.5000000000000002
fivb_vis:7862,2016-12-04,women,World Championship,WCH_WOMEN,other,SLV,NIC,54,75,0,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7862,1002,10,1440.835727688197,1557.1717479821345,0.33856760987224527,1430.0015641722853,1568.0059114980463,10,1,1.0,0.2,-2.2,0.3,-1.4,18,3,1.0,0.6,0.6,0.7,1.0,2,0.0,5.0,1.0,5.0,1.0,-116.33602029393751,-8,-2,0.0,-0.39999999999999997,-2.8000000000000003,-0.39999999999999997,-2.4
fivb_vis:7459,2016-09-11,men,World Championship,WCH_MEN,other,CHN,LKA,87,91,1,3,team_b,Volleyball House,,True,fivb_vis,7459,1027,1,1445.0324245523022,1500.0,0.42154876091042354,1431.5428642031686,1513.4895603491336,51,-4,98.0,0.2,-0.4,0.4,-0.2,0,0,,,,,,0,,5.0,1.0,5.0,0.034482758620689655,-54.967575447697754,51,-4,,,,,
fivb_vis:7460,2016-09-11,men,World Championship,WCH_MEN,other,VEN,LBN,75,57,3,0,team_a,Volleyball House,,True,fivb_vis,7460,1027,2,1286.4108738076136,1500.0,0.22626582527507583,1311.170367398811,1475.2405064088025,46,-14,98.0,0.0,-2.2,0.0,-2.2,0,0,,,,,,0,,5.0,1.0,5.0,0.06896551724137931,-213.5891261923864,46,-14,,,,,
fivb_vis:7461,2016-09-11,men,World Championship,WCH_MEN,other,IRN,ZMB,75,25,3,0,team_a,Volleyball House,,True,fivb_vis,7461,1027,3,1598.8998915878954,1500.0,0.6386047630427568,1610.4645391705271,1488.4353524173682,80,-2,25.0,0.4,-0.2,0.6,0.2,0,0,,,,,,0,,5.0,1.0,5.0,0.10344827586206896,98.89989158789535,80,-2,,,,,
fivb_vis:7462,2016-09-11,men,World Championship,WCH_MEN,other,PSE,KOR,36,75,0,3,team_b,Volleyball House,,True,fivb_vis,7462,1027,4,1500.0,1405.0665704857959,0.633318713125908,1479.733801179971,1425.332769305825,0,0,,,,,,38,-4,735.0,0.2,-1.4,0.4,-0.5,0,,5.0,1.0,5.0,0.13793103448275862,94.93342951420414,-38,4,,,,,
fivb_vis:7463,2016-09-12,men,World Championship,WCH_MEN,other,LKA,VEN,99,109,2,3,team_b,Volleyball House,,True,fivb_vis,7463,1027,5,1513.4895603491336,1311.170367398811,0.7621753290426658,1489.0999498197684,1335.5599779281763,1,1,1.0,1.0,2.0,1.0,2.0,47,1,1.0,0.2,-1.0,0.1,-1.6,0,,5.0,1.0,5.0,0.1724137931034483,202.31919295032253,-46,0,0.0,0.8,3.0,0.9,3.6
fivb_vis:7464,2016-09-12,men,World Championship,WCH_MEN,other,ZMB,PAK,31,75,0,3,team_b,Volleyball House,,True,fivb_vis,7464,1027,6,1488.4353524173682,1476.0702557274565,0.5177872952875292,1471.8661589681674,1492.6394491766573,1,-1,1.0,0.0,-3.0,0.0,-3.0,9,-3,1555.0,0.2,-2.0,0.4444444444444444,-0.2222222222222222,0,,5.0,1.0,5.0,0.20689655172413793,12.365096689911752,-8,2,-1554.0,-0.2,-1.0,-0.4444444444444444,-2.7777777777777777
fivb_vis:7465,2016-09-12,men,World Championship,WCH_MEN,other,PSE,IRN,37,75,0,3,team_b,Volleyball House,,True,fivb_vis,7465,1027,7,1479.733801179971,1610.4645391705271,0.320266658190288,1469.4852681178818,1620.7130722326162,1,-1,1.0,0.0,-3.0,0.0,-3.0,81,1,1.0,0.6,0.6,0.6,0.3,0,,5.0,1.0,5.0,0.2413793103448276,-130.73073799055624,-80,-2,0.0,-0.6,-3.6,-0.6,-3.3
fivb_vis:7466,2016-09-12,men,World Championship,WCH_MEN,other,PRK,LBN,76,61,3,0,team_a,Volleyball House,,True,fivb_vis,7466,1027,8,1500.0,1475.2405064088025,0.5355715792302473,1514.861709464632,1460.3787969441705,0,0,,,,,,1,-1,1.0,0.0,-3.0,0.0,-3.0,0,,5.0,1.0,5.0,0.27586206896551724,24.759493591197497,-1,1,,,,,
fivb_vis:7467,2016-09-13,men,World Championship,WCH_MEN,other,PSE,PAK,47,75,0,3,team_b,Volleyball House,,True,fivb_vis,7467,1027,9,1469.4852681178818,1492.6394491766573,0.4667276977717655,1454.5499817891853,1507.5747355053538,2,-2,1.0,0.0,-3.0,0.0,-3.0,10,1,1.0,0.4,-0.8,0.5,0.1,0,,5.0,1.0,5.0,0.3103448275862069,-23.15418105877552,-8,-3,0.0,-0.4,-2.2,-0.5,-3.1
fivb_vis:7468,2016-09-13,men,World Championship,WCH_MEN,other,PRK,LKA,65,75,0,3,team_b,Volleyball House,,True,fivb_vis,7468,1027,10,1514.861709464632,1489.0999498197684,0.5370063572142328,1497.6775060337766,1506.2841532506238,1,1,1.0,1.0,3.0,1.0,3.0,2,-1,1.0,0.5,0.5,0.5,0.5,0,,5.0,1.0,5.0,0.3448275862068966,25.76175964486356,-1,2,0.0,0.5,2.5,0.5,2.5
fivb_vis:7469,2016-09-13,men,World Championship,WCH_MEN,other,KOR,IRN,77,95,1,3,team_b,Volleyball House,,True,fivb_vis,7469,1027,11,1425.332769305825,1620.7130722326162,0.24514062790331645,1417.4882692129188,1628.5575723255224,39,1,2.0,0.2,-1.2,0.5,-0.1,82,2,1.0,0.6,0.6,0.6,0.5,3,0.3333333333333333,5.0,1.0,5.0,0.3793103448275862,-195.38030292679127,-43,-1,1.0,-0.39999999999999997,-1.7999999999999998,-0.09999999999999998,-0.6
fivb_vis:7470,2016-09-13,men,World Championship,WCH_MEN,other,CHN,VEN,76,60,3,0,team_a,Volleyball House,,True,fivb_vis,7470,1027,12,1431.5428642031686,1335.5599779281763,0.634720494725704,1443.231808371946,1323.8710337593989,52,-5,2.0,0.0,-1.4,0.4,-0.1,48,2,1.0,0.4,-0.2,0.2,-1.3,3,1.0,5.0,1.0,5.0,0.41379310344827586,95.98288627499232,4,-7,1.0,-0.4,-1.2,0.2,1.2
fivb_vis:7471,2016-09-14,men,World Championship,WCH_MEN,other,ZMB,KOR,30,75,0,3,team_b,Volleyball House,,True,fivb_vis,7471,1027,13,1471.8661589681674,1417.4882692129188,0.577623285271951,1453.3822138394648,1435.972214341621,2,-2,2.0,0.0,-3.0,0.0,-3.0,40,-1,1.0,0.2,-1.0,0.4,-0.6,0,,5.0,1.0,5.0,0.4482758620689655,54.37788975524859,-38,-1,1.0,-0.2,-2.0,-0.4,-2.4
fivb_vis:7472,2016-09-14,men,World Championship,WCH_MEN,other,PRK,VEN,123,128,3,2,team_a,Volleyball House,,True,fivb_vis,7472,1027,14,1497.6775060337766,1323.8710337593989,0.731158933311961,1506.2804201677939,1315.2681196253816,2,-1,1.0,0.5,0.0,0.5,0.0,49,-1,1.0,0.4,-0.2,0.2,-1.4,0,,5.0,1.0,5.0,0.4827586206896552,173.8064722743777,-47,0,0.0,0.09999999999999998,0.2,0.3,1.4
fivb_vis:7473,2016-09-14,men,World Championship,WCH_MEN,other,PAK,IRN,51,75,0,3,team_b,Volleyball House,,True,fivb_vis,7473,1027,15,1507.5747355053538,1628.5575723255224,0.3326035090549783,1496.9314232155946,1639.2008846152817,11,2,1.0,0.4,-0.4,0.5,0.1,83,3,1.0,0.6,0.4,0.6,0.5,1,0.0,5.0,1.0,5.0,0.5172413793103449,-120.98283682016859,-72,-1,0.0,-0.19999999999999996,-0.8,-0.09999999999999998,-0.4
fivb_vis:7474,2016-09-14,men,World Championship,WCH_MEN,other,LBN,CHN,47,75,0,3,team_b,Volleyball House,,True,fivb_vis,7474,1027,16,1460.3787969441705,1443.231808371946,0.5246564846693784,1443.5897894347504,1460.0208158813662,2,-2,2.0,0.0,-3.0,0.0,-3.0,53,1,1.0,0.2,-0.6,0.4,0.1,0,,5.0,1.0,5.0,0.5517241379310345,17.146988572224473,-51,-3,1.0,-0.2,-2.4,-0.4,-3.1
fivb_vis:7475,2016-09-15,men,World Championship,WCH_MEN,other,PSE,ZMB,75,59,3,0,team_a,Volleyball House,,True,fivb_vis,7475,1027,17,1454.5499817891853,1453.3822138394648,0.5016805468422945,1470.4962042902318,1437.4359913384183,3,-3,2.0,0.0,-3.0,0.0,-3.0,3,-3,1.0,0.0,-3.0,0.0,-3.0,0,,5.0,1.0,5.0,0.5862068965517241,1.167767949720428,0,0,1.0,0.0,0.0,0.0,0.0
fivb_vis:7476,2016-09-15,men,World Championship,WCH_MEN,other,PRK,CHN,51,75,0,3,team_b,Volleyball House,,True,fivb_vis,7476,1027,18,1506.2804201677939,1460.0208158813662,0.5661822942812458,1488.162586750794,1478.138649298366,3,1,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,54,2,1.0,0.4,0.2,0.4,0.3,0,,5.0,1.0,5.0,0.6206896551724138,46.2596042864277,-51,-1,0.0,0.2666666666666666,0.1333333333333333,0.2666666666666666,0.033333333333333326
fivb_vis:7477,2016-09-15,men,World Championship,WCH_MEN,other,LBN,LKA,58,81,0,3,team_b,Volleyball House,,True,fivb_vis,7477,1027,19,1443.5897894347504,1506.2841532506238,0.4107422588061851,1430.4460371529524,1519.4279055324218,3,-3,1.0,0.0,-3.0,0.0,-3.0,3,1,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,0,,5.0,1.0,5.0,0.6551724137931034,-62.69436381587343,0,-4,-1.0,-0.6666666666666666,-4.333333333333333,-0.6666666666666666,-4.333333333333333
fivb_vis:7478,2016-09-15,men,World Championship,WCH_MEN,other,KOR,PAK,79,70,3,0,team_a,Volleyball House,,True,fivb_vis,7478,1027,20,1435.972214341621,1496.9314232155946,0.41316190792140234,1454.7510332881363,1478.1526042690793,41,1,1.0,0.4,0.0,0.4,-0.4,12,-1,1.0,0.4,-0.4,0.4,-0.5,0,,5.0,1.0,5.0,0.6896551724137931,-60.959208873973466,29,2,0.0,0.0,0.4,0.0,0.09999999999999998
fivb_vis:7479,2016-09-17,men,World Championship,WCH_MEN,other,ZMB,LBN,57,75,0,3,team_b,Volleyball House,,True,fivb_vis,7479,1027,21,1437.4359913384183,1430.4460371529524,0.5100579956967083,1421.1141354761237,1446.767893015247,4,-4,2.0,0.0,-3.0,0.0,-3.0,4,-4,2.0,0.0,-3.0,0.0,-3.0,0,,5.0,1.0,5.0,0.7241379310344828,6.989954185465876,0,0,0.0,0.0,0.0,0.0,0.0
fivb_vis:7480,2016-09-17,men,World Championship,WCH_MEN,other,PAK,PRK,75,60,3,0,team_a,Volleyball House,,True,fivb_vis,7480,1027,22,1478.1526042690793,1488.162586750794,0.4855984617943705,1494.6134534916596,1471.7017375282137,13,-2,2.0,0.4,-0.4,0.3,-1.1,4,-1,2.0,0.5,-0.5,0.5,-0.5,0,,5.0,1.0,5.0,0.7586206896551724,-10.009982481714587,9,-1,0.0,-0.09999999999999998,0.09999999999999998,-0.2,-0.6000000000000001
fivb_vis:7481,2016-09-17,men,World Championship,WCH_MEN,other,VEN,PSE,75,48,3,0,team_a,Volleyball House,,True,fivb_vis,7481,1027,23,1315.2681196253816,1470.4962042902318,0.29037474984479383,1337.9761276303482,1447.7881962852653,50,-2,3.0,0.4,-0.2,0.2,-1.3,4,1,2.0,0.25,-1.5,0.25,-1.5,0,,5.0,1.0,5.0,0.7931034482758621,-155.22808466485026,46,-3,1.0,0.15000000000000002,1.3,-0.04999999999999999,0.19999999999999996
fivb_vis:7482,2016-09-17,men,World Championship,WCH_MEN,other,IRN,CHN,90,88,3,1,team_a,Volleyball House,,True,fivb_vis,7482,1027,24,1639.2008846152817,1478.138649298366,0.7164964718836245,1648.2729975150057,1469.066536398642,84,4,3.0,0.8,1.6,0.6,0.7,55,3,2.0,0.6,1.2,0.5,0.8,3,0.6666666666666666,5.0,1.0,5.0,0.8275862068965517,161.06223531691558,29,1,1.0,0.20000000000000007,0.40000000000000013,0.09999999999999998,-0.10000000000000009
fivb_vis:7483,2016-09-17,men,World Championship,WCH_MEN,other,LKA,KOR,77,100,1,3,team_b,Volleyball House,,True,fivb_vis,7483,1027,25,1519.4279055324218,1454.7510332881363,0.5920170388649153,1500.4833602887445,1473.6955785318137,4,2,2.0,0.75,1.75,0.75,1.75,42,2,2.0,0.6,0.8,0.5,0.1,0,,5.0,1.0,5.0,0.8620689655172413,64.6768722442855,-38,0,0.0,0.15000000000000002,0.95,0.25,1.65
fivb_vis:7484,2016-09-18,men,World Championship,WCH_MEN,other,PRK,PSE,75,48,3,0,team_a,Volleyball House,,True,fivb_vis,7484,1027,26,1471.7017375282137,1447.7881962852653,0.5343601102830242,1486.602213999157,1432.887719814322,5,-2,1.0,0.4,-1.0,0.4,-1.0,5,-1,1.0,0.2,-1.8,0.2,-1.8,0,,5.0,1.0,5.0,0.896551724137931,23.91354124294844,0,-1,0.0,0.2,0.8,0.2,0.8
fivb_vis:7485,2016-09-18,men,World Championship,WCH_MEN,other,PAK,VEN,75,59,3,0,team_a,Volleyball House,,True,fivb_vis,7485,1027,27,1494.6134534916596,1337.9761276303482,0.7112939900741165,1503.8520458092878,1328.73753531272,14,1,1.0,0.6,0.6,0.4,-0.7,51,1,1.0,0.6,0.6,0.3,-0.8,0,,5.0,1.0,5.0,0.9310344827586207,156.6373258613114,-37,0,0.0,0.0,0.0,0.10000000000000003,0.10000000000000009
fivb_vis:7486,2016-09-18,men,World Championship,WCH_MEN,other,CHN,LKA,75,45,3,0,team_a,Volleyball House,,True,fivb_vis,7486,1027,28,1469.066536398642,1500.4833602887445,0.45491038324775396,1486.5094041347138,1483.0404925526727,56,-1,1.0,0.6,1.0,0.4,0.3,5,-1,1.0,0.6,1.0,0.6,1.0,1,0.0,5.0,1.0,5.0,0.9655172413793104,-31.416823890102478,51,0,0.0,0.0,0.0,-0.19999999999999996,-0.7
fivb_vis:7487,2016-09-18,men,World Championship,WCH_MEN,other,IRN,KOR,77,67,3,0,team_a,Volleyball House,,True,fivb_vis,7487,1027,29,1648.2729975150057,1473.6955785318137,0.7320303812464561,1656.8480253151192,1465.1205507317002,85,5,1.0,1.0,2.6,0.7,1.2,43,3,1.0,0.8,1.8,0.5,0.2,4,0.75,5.0,1.0,5.0,1.0,174.57741898319205,42,2,0.0,0.19999999999999996,0.8,0.19999999999999996,1.0
